Step,Reward/Raw_Episode,Reward/Average_100_Episodes,Training/Success_Rate,Safety/Shield_Activations,Training/Episode_Length,Outcome/Type,Training/Learning_Rate,Loss/Policy_Loss,Loss/Value_Loss,Training/Entropy,Training/Approx_KL
1855,157.0289306640625,254.65097045898438,0.07999999821186066,0.0,182.0,3.0,0.0001145999995060265,,,,
1856,397.97259521484375,256.28179931640625,0.07999999821186066,0.0,448.0,3.0,0.00011449999874457717,,,,
1857,200.86453247070312,253.8373565673828,0.07000000029802322,0.0,198.0,1.0,0.00011439999798312783,,,,
1858,236.37228393554688,253.76092529296875,0.07000000029802322,0.0,193.0,1.0,0.0001142999972216785,,,,
1859,229.56838989257812,253.9750518798828,0.07000000029802322,0.0,203.0,1.0,0.00011419999646022916,,,,
1860,317.3114318847656,252.69696044921875,0.05999999865889549,0.0,362.0,1.0,0.00011410000297473744,-0.039562977850437164,0.29578354954719543,2.655881881713867,0.005990468896925449
1861,226.52755737304688,252.38890075683594,0.05999999865889549,0.0,215.0,1.0,0.0001140000022132881,,,,
1862,178.94911193847656,251.3977508544922,0.05999999865889549,0.0,197.0,1.0,0.00011390000145183876,,,,
1863,221.93515014648438,251.0732421875,0.05999999865889549,0.0,220.0,1.0,0.00011380000069038942,,,,
1864,260.3153076171875,251.0351104736328,0.05999999865889549,0.0,258.0,1.0,0.00011369999992894009,,,,
1865,135.84832763671875,251.2566375732422,0.05999999865889549,0.0,147.0,1.0,0.00011359999916749075,,,,
1866,94.66796112060547,248.994140625,0.05999999865889549,0.0,126.0,3.0,0.00011349999840604141,,,,
1867,136.27969360351562,247.7863311767578,0.05999999865889549,0.0,133.0,1.0,0.00011339999764459208,,,,
1868,186.64903259277344,247.81520080566406,0.05999999865889549,0.0,195.0,1.0,0.00011329999688314274,,,,
1869,195.64781188964844,246.9311981201172,0.05999999865889549,0.0,197.0,3.0,0.00011320000339765102,,,,
1870,189.6067657470703,245.4443817138672,0.05999999865889549,0.0,203.0,1.0,0.00011310000263620168,,,,
1871,200.9737548828125,245.0941925048828,0.05999999865889549,0.0,197.0,1.0,0.00011300000187475234,0.0318911075592041,0.24091781675815582,2.655864953994751,0.004854763392359018
1872,221.15374755859375,245.31617736816406,0.05999999865889549,0.0,230.0,1.0,0.000112900001113303,,,,
1873,272.36187744140625,245.6982879638672,0.05999999865889549,0.0,246.0,1.0,0.00011280000035185367,,,,
1874,172.9637908935547,244.5799560546875,0.05999999865889549,0.0,151.0,1.0,0.00011269999959040433,,,,
1875,248.35572814941406,244.62681579589844,0.05999999865889549,0.0,206.0,1.0,0.000112599998828955,,,,
1876,230.77041625976562,245.44448852539062,0.05999999865889549,0.0,203.0,1.0,0.00011249999806750566,,,,
1877,61.73728942871094,243.57992553710938,0.05999999865889549,0.0,102.0,3.0,0.00011239999730605632,,,,
1878,229.35870361328125,241.48907470703125,0.05000000074505806,0.0,204.0,1.0,0.00011229999654460698,,,,
1879,246.10801696777344,241.6523895263672,0.05000000074505806,0.0,199.0,1.0,0.00011220000305911526,,,,
1880,213.3359375,240.5447235107422,0.05000000074505806,0.0,229.0,1.0,0.00011210000229766592,,,,
1881,187.3861083984375,240.0326690673828,0.05000000074505806,0.0,210.0,3.0,0.00011200000153621659,0.03478364646434784,0.32812684774398804,2.656524658203125,0.004791869316250086
1882,225.45042419433594,240.12704467773438,0.05000000074505806,0.0,203.0,1.0,0.00011190000077476725,,,,
1883,183.39012145996094,238.6307373046875,0.05000000074505806,0.0,193.0,1.0,0.00011180000001331791,,,,
1884,239.0380096435547,238.23536682128906,0.05000000074505806,0.0,230.0,1.0,0.00011169999925186858,,,,
1885,252.27911376953125,238.30686950683594,0.05000000074505806,0.0,265.0,1.0,0.00011159999849041924,,,,
1886,263.9308166503906,238.84779357910156,0.05000000074505806,0.0,254.0,3.0,0.0001114999977289699,,,,
1887,172.0152587890625,236.3959503173828,0.03999999910593033,0.0,172.0,1.0,0.00011139999696752056,,,,
1888,168.72694396972656,235.0919952392578,0.03999999910593033,0.0,180.0,1.0,0.00011130000348202884,,,,
1889,173.78956604003906,232.3562469482422,0.029999999329447746,0.0,192.0,1.0,0.0001112000027205795,,,,
