Step,Reward/Raw_Episode,Reward/Average_100_Episodes,Training/Success_Rate,Safety/Shield_Activations,Training/Episode_Length,Outcome/Type,Training/Learning_Rate,Loss/Policy_Loss,Loss/Value_Loss,Training/Entropy,Training/Approx_KL
23,-199.61761474609375,-273.36785888671875,0.0,0.0,608.0,3.0,0.00029835000168532133,,,,
24,-176.02391052246094,-269.3118591308594,0.0,0.0,565.0,3.0,0.00029827500111423433,,,,
25,-171.28976440429688,-265.3909606933594,0.0,0.0,531.0,3.0,0.0002982000005431473,-0.00607334915548563,0.5252511501312256,2.814553737640381,0.004346335772424936
26,-243.79539489746094,-264.56036376953125,0.0,0.0,850.0,3.0,0.0002981249999720603,,,,
27,-136.28097534179688,-259.80926513671875,0.0,0.0,441.0,3.0,0.0002980499994009733,,,,
28,-288.38006591796875,-260.82965087890625,0.0,0.0,999.0,0.0,0.0002979749988298863,0.0024716537445783615,0.5113397240638733,2.812185764312744,0.0026632121298462152
29,-98.56517028808594,-255.23431396484375,0.0,0.0,300.0,3.0,0.0002978999982587993,,,,
30,-203.7913818359375,-253.51954650878906,0.0,0.0,690.0,3.0,0.0002978249976877123,,,,
31,-230.02760314941406,-252.76174926757812,0.0,0.0,782.0,3.0,0.0002977499971166253,-0.00018784520216286182,0.5056134462356567,2.810837745666504,0.0039047172758728266
32,-84.76229095458984,-247.51177978515625,0.0,0.0,271.0,3.0,0.0002976749965455383,,,,
33,-152.1212921142578,-244.62115478515625,0.0,0.0,500.0,3.0,0.0002975999959744513,,,,
34,-92.06407928466797,-240.13417053222656,0.0,0.0,275.0,3.0,0.0002975249954033643,,,,
35,-58.01274108886719,-234.93072509765625,0.0,0.0,190.0,3.0,0.0002974499948322773,,,,
36,-107.18058013916016,-231.38211059570312,0.0,0.0,333.0,3.0,0.0002973749942611903,-0.0023928608279675245,0.5037873983383179,2.807157039642334,0.0039727832190692425
37,-83.8370361328125,-227.39439392089844,0.0,0.0,296.0,3.0,0.0002972999936901033,,,,
38,-39.03185272216797,-222.4375,0.0,0.0,131.0,3.0,0.0002972249931190163,,,,
39,-37.630409240722656,-217.69886779785156,0.0,0.0,129.0,3.0,0.0002971499925479293,,,,
40,-20.512828826904297,-212.7692108154297,0.0,0.0,55.0,3.0,0.0002970749919768423,,,,
41,-45.45561981201172,-208.6884002685547,0.0,0.0,119.0,3.0,0.0002969999914057553,,,,
42,-28.46776580810547,-204.39743041992188,0.0,0.0,68.0,3.0,0.0002969249908346683,,,,
43,-93.22948455810547,-201.8121337890625,0.0,0.0,305.0,3.0,0.0002968499902635813,,,,
44,-44.14748764038086,-198.22885131835938,0.0,0.0,133.0,3.0,0.0002967749896924943,,,,
45,-77.3145980834961,-195.54185485839844,0.0,0.0,210.0,3.0,0.00029669998912140727,,,,
46,-54.56501388549805,-192.47715759277344,0.0,0.0,174.0,3.0,0.00029662498855032027,,,,
47,-50.902618408203125,-189.4649200439453,0.0,0.0,150.0,3.0,0.00029654998797923326,,,,
48,-45.13268280029297,-186.4579620361328,0.0,0.0,124.0,3.0,0.00029647498740814626,-0.005002330057322979,0.49505728483200073,2.802748203277588,0.008443092927336693
49,-17.41844940185547,-183.0081787109375,0.0,0.0,60.0,3.0,0.00029639998683705926,,,,
50,-22.922534942626953,-179.80645751953125,0.0,0.0,77.0,3.0,0.00029632498626597226,,,,
51,-35.11783981323242,-176.9694366455078,0.0,0.0,106.0,3.0,0.00029624998569488525,,,,
52,-59.44668960571289,-174.70938110351562,0.0,0.0,175.0,3.0,0.0002961750142276287,,,,
